Title,Price,Rating,Image,Type
"ASUS Vivobook S14,Smartchoice,AMD Ryzen AI 7 350,16GB RAM,1TB SSD,OLED,14"",Windows 11, Office24,M365 Basic (1Yr)*, Matte Gray,1.4Kg, M3407KA-SF049WS,50 Tops,Metallic Design,Next-Gen AI Laptop,Copilot+","81,990",3.9 out of 5 stars,https://m.media-amazon.com/images/I/71G3hXXBEWL._AC_UY218_.jpg,Ad
"Dell 15, 13th Gen Intel Core i5-1334U (16GB DDR4, 512GB SSD) Anti-Glare FHD 15.6""/39.62cm, Windows 11, Microsoft Office Home 2024, Grey, 1.66kg, [Vostro 3530], 12 Month McAfee, Thin & Light Laptop","66,990",3.8 out of 5 stars,https://m.media-amazon.com/images/I/712WiT-wexL._AC_UY218_.jpg,Ad
"HP 15, 13th Gen Intel Core i3-1315U Laptop (8GB DDR4,512GB SSD) Anti-Glare, Micro-Edge,15.6''/39.6cm, FHD, Win11,M365 Basic(1yr),Office Home24, Silver,1.59kg, FHD Camera w/Privacy Shutter, fd0569TU","47,600",4.2 out of 5 stars,https://m.media-amazon.com/images/I/61R5Ecv7i-L._AC_UY218_.jpg,Organic
"Dell 15 (Previously Inspiron) Laptop, 14th Gen Intel Core 3 100U Processor, 8GB DDR4, 512 SSD, 15.6"" NT FHD 120Hz IPS AG 250 nit Display, Win 11 + Office H&S 2024, Carbon Black, Thin & Light- 1.63Kg","49,990",4.1 out of 5 stars,https://m.media-amazon.com/images/I/717WZ7WriwL._AC_UY218_.jpg,Organic
"Acer Aspire One, Intel Core Celeron N4500, Office 2024 + M365 Basic, 12GB LPDDR4X RAM/ 256GB SSD, 14.0""/35.56cm TN HD Display, Win 11 Home, Pure Silver, 1.3KG, A114-45, Thin and Light Laptop","35,990",N/A,https://m.media-amazon.com/images/I/71I0Oo7W2-L._AC_UY218_.jpg,Organic
"ASUS Vivobook 15, Smartchoice, AMD Ryzen 7 5825U, 16GB RAM, 512GB SSD, FHD 15.6"", Windows 11, Office Home 2024, Quiet Blue, 1.7Kg, M1502YA-BQ703WS, AMD Radeon iGPU, M365 Basic (1Year)*, 42Whr Laptop","55,990",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71zMooVIVAL._AC_UY218_.jpg,Organic
"HP 15, 13th Gen Intel Core i3-1315U (12GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fd0573TU, FHD Camera w/Shutter Laptop","52,690",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71FXHAM+jWL._AC_UY218_.jpg,Organic
"HP 15 (2026), AMD Athlon Dual Core 7120U - (8 GB DDR5/512 GB SSD/AMD Radeon 610M Graphics/DOS) Thin and Light Business Laptop/15.6"" HD Display/Turbo Silver/Copilot Key/1.5kg","39,800",5.0 out of 5 stars,https://m.media-amazon.com/images/I/718-7YE0WQL._AC_UY218_.jpg,Organic
"ASUS Vivobook 15, Intel Core i3 13th Gen 1315U, 16GB RAM, 512GB SSD, FHD 15.6"", Touchscreen, Win11, Office Home 2024, M365 Basic (1Year)*, Quiet Blue, 1.7Kg, X1504VA-E83959WS, Intel UHD iGPU, Laptop","49,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71VVn7vu2cL._AC_UY218_.jpg,Organic
"Lenovo Smartchoice Ideapad Slim 3, 13th Gen Intel Core i7 13620H, 16GB RAM, 512GB SSD, WUXGA IPS, 15.3""/38.8cm, Win 11, Office 2024, Top Metal Cover Grey, 1.6Kg, 83K100CJIN/S1IN, Backlit KB, Laptop","76,990",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71IjxF4prWL._AC_UY218_.jpg,Organic
